Gene	Nanog	Oct4	Sox2	STAT3	c-Myc	Klf4	Expression Level
Gene90	0.00	0.15	0.14	0.25	0.00	0.00	4.96
Gene91	0.03	0.39	0.00	0.00	0.00	0.00	3.91
Gene92	0.44	0.96	0.64	0.25	0.00	0.00	29.17
Gene93	0.00	0.00	0.11	0.00	0.00	0.00	2.21
Gene94	0.10	0.00	0.00	0.00	0.00	0.00	2.62
Gene95	0.28	0.41	0.14	0.00	0.12	0.46	17.97
Gene96	0.00	0.00	0.14	0.00	0.00	0.00	2.76
Gene97	0.26	0.15	0.11	0.25	0.50	0.26	21.96
Gene98	0.03	0.00	0.00	0.39	0.38	0.00	10.38
Gene99	0.00	0.00	0.00	0.00	0.00	0.26	3.52
Gene100	0.00	0.96	0.83	0.00	0.98	0.97	52.19
Gene101	0.03	0.00	0.00	0.35	0.50	0.00	12.28
Gene102	0.00	0.00	0.14	0.25	0.48	0.97	23.57
Gene103	0.03	0.37	0.28	0.45	0.07	0.14	13.72
Gene104	0.22	0.96	0.00	0.00	0.00	0.97	23.15
Gene105	0.81	0.34	0.83	0.00	0.00	0.97	42.23
Gene106	0.00	0.15	0.00	0.00	0.00	0.00	1.34
Gene107	0.03	0.00	0.14	0.00	0.00	0.00	2.93
Gene108	0.22	0.00	0.00	0.40	0.00	0.93	16.49
Gene109	0.26	0.15	0.14	0.39	0.00	0.00	11.34
Gene110	0.51	0.96	0.00	0.40	0.00	0.93	30.96
Gene111	0.00	0.39	0.43	0.25	0.07	0.00	12.51
Gene112	0.03	0.00	0.00	0.00	0.38	0.14	9.31
Gene113	0.02	0.23	0.17	0.00	0.00	0.26	8.66
Gene114	0.02	0.00	0.00	0.00	0.38	0.93	17.84
Gene115	0.00	0.00	0.14	0.45	0.29	0.93	20.44
Gene116	0.13	0.00	0.00	0.00	0.07	0.00	4.35
Gene117	0.00	0.00	0.00	0.00	0.00	0.00	-0.27
Gene118	0.00	0.00	0.00	0.00	0.07	0.00	0.87
Gene119	0.02	0.00	0.17	0.39	0.00	0.00	5.55
Gene120	0.02	0.00	0.00	0.00	0.00	0.00	-0.09
Gene121	0.00	0.22	0.23	0.00	0.00	0.00	6.45
Gene122	0.02	0.00	0.17	0.31	0.00	0.14	6.46
Gene123	0.00	0.15	0.11	0.00	0.00	0.97	13.15
Gene124	0.00	0.00	0.00	0.00	0.12	0.00	2.09
Gene125	0.00	0.15	0.00	0.00	0.00	0.97	11.29
Gene126	0.13	0.22	0.00	0.00	0.07	0.97	15.36
Gene127	0.00	0.33	0.00	0.00	0.00	0.26	5.36
Gene128	0.03	0.00	0.00	0.00	0.00	0.00	1.14
Gene129	0.00	0.00	0.14	0.35	0.00	0.00	3.75
Gene130	0.02	0.00	0.00	0.00	0.00	0.93	9.34
Gene131	0.28	0.41	0.40	0.00	0.00	0.14	18.15
